label,m1m,m1s,m2m,m2s,m3m,m3s,m4m,m4s,m5m,m5s,m6m,m6s,m7m,m7s,m8m,m8s,m9m,m9s,m10m,m10s,m11m,m11s,m12m,m12s,centm,cents,rollm,rolls,tonnm,tonns,zcrm,zcrs,rmsem,rmses,tempom,onsetm,pitchm,wavea1,waved1,wavea2,waved2,p1,p2,p3,p4,msd,mc,sam,sbm,kurtosis,meauto,skew,timerev
class_9,-0.036643875253,0.15811523737,-0.145131580253,0.0655562212297,0.0862027847449,0.0363135444042,0.0727995431261,0.140863235721,-0.065600646748,0.141046736183,-0.169227579961,0.299147130779,-0.0682330710616,0.100600447905,0.0721094360345,0.0627767587961,0.228464333772,0.28028191721,0.346843920616,0.708288795799,0.197561405566,0.426069477156,-0.125379860121,0.313126178665,-0.231400276219,0.164537438508,-0.363261674814,0.0158639889272,0.231330321631,0.28456785601,-0.124278473696,0.0557861739952,0.0238792493376,0.290964411415,0.269623971382,0.131986315,-0.0505405405405,0.122568401362,-0.099668196727,0.119810801464,0.0683292699296,0.296067868656,-0.459184837683,0.278809476538,-0.485495611669,0.00776951571376,0.00952723124862,-0.0723548163393,0.50051360696,-0.0121757639629,-0.113426721159,0.00204871279598,0.0642116378345
class_3,-0.0125094726854,-0.17814470032,-0.0110482047257,-0.158264126698,0.0156672632593,-0.172327249903,-0.0865246975518,-0.0950269441505,-0.0668287698142,-0.101624021777,-0.021480268654,-0.160435260599,-0.0913934529692,-0.078096498777,-0.0112807964,-0.112467881023,-0.0879307734718,-0.0880991194299,-0.0868156146484,-0.113361498597,-0.0441015976365,-0.135954665444,-0.0402558741265,-0.127975166266,0.0157262931674,-0.22148818785,0.0683521758766,-0.187036055824,-0.0252762817482,-0.224970530864,-0.0043923850236,-0.13169512572,0.0270672059289,-0.0249396140698,-0.0200965110275,0.512926315,-0.0505405405405,0.00704787672708,-0.0184611737697,0.00799609004663,-0.0303617966091,-0.117253678765,0.207903633174,-0.100799134807,0.197521941654,-0.0192570526693,0.00340749468493,-0.071169187061,-0.0601397704459,-0.0125967987244,-0.00147862754229,0.00090861502277,0.00379157347182
class_1,0.011765120379,0.137951136902,-0.0863420443882,0.0680920020103,0.0273158522001,-0.217618696235,-0.0771236175322,-0.00555522093632,0.0671050321311,-0.207706252007,-0.0278098663459,-0.155987426837,0.0384088423341,-0.120547816934,-0.0485107982399,-0.148848053829,0.0109139924351,-0.160652841808,-0.0545377970621,-0.202744182632,0.0216123591137,-0.149474943226,-0.0266086254485,-0.212356865263,-0.334937718989,0.0365200491935,-0.444189674093,-0.0179045132976,0.0575539767747,-0.0567141330521,-0.224002588236,-0.0353195152326,-0.134806841401,-0.0281265838961,0.269623971382,-0.153733685,-0.0505405405405,-0.105896390843,-0.108590878305,-0.105185322837,-0.0986058491163,0.282309549189,-0.389947223037,0.234755641295,-0.303624306071,0.0041881931545,0.00191099502877,0.524061451389,-0.0616099710016,0.010779641295,-0.14951787818,0.0279049694447,0.00159897984279
class_3,-0.0949604172808,-0.115288194643,0.00399112016878,-0.156706106434,-0.100649199375,-0.150286076508,-0.0552917462808,-0.098752837279,0.0689468993859,-0.136177012345,-0.104782920206,-0.0961719983896,-0.158253002267,-0.0596287314564,-0.0272323061001,-0.0867322772978,-0.138867301989,-0.0662127364718,-0.069598089825,-0.0827931469081,-0.067939232923,-0.109762420372,-0.0905658030921,-0.102838262044,0.124862269804,-0.0469419879495,0.134089212711,0.012202924492,-0.0471495876172,-0.241443380994,0.170900355508,0.0191161107421,0.077900728171,0.0401561623932,0.00822171924973,-0.153733685,-0.0505405405405,0.0669386167966,0.0608181416944,0.0630637351094,0.115416489579,0.100487585795,-0.00450049639152,0.0998366346135,-0.028097818758,0.00381952366837,0.00144740687282,-0.0722429645206,-0.0613767667755,-0.0126330254598,-0.13510129024,0.000702119917407,0.00146587037961
class_4,-0.121821998323,0.151889455198,0.00828006531646,0.0318600351811,0.0235497608093,0.310103466915,-0.000142336449596,0.093980985373,-0.0172595649207,0.230157236772,-0.00804810768767,0.18026725713,0.137365347301,0.203898655419,0.0680147450273,0.245472596972,0.0734020807922,0.180440198647,0.00797197875934,0.285571507291,0.184678573604,0.408312915922,0.239084212037,0.398443648456,0.0890659331604,0.0942699252565,0.0868353538247,0.0383361804934,-0.00484974882083,0.234869313833,0.0516739929353,0.115197651221,-0.0395844510169,0.00474732367758,0.159266162213,0.068486315,-0.0505405405405,-0.041264179907,0.000308319337822,-0.0447319474228,0.0322514792494,0.268884008423,-0.338806036944,0.243127414192,-0.329965528285,0.00418379820832,0.0020580977319,-0.0671648919511,-0.052515006185,-0.0118395276856,-0.155567681213,-0.00147559305009,0.00159804705047
class_7,0.175602733805,-0.212936070244,0.145649854346,-0.205434218191,0.115886521436,-0.249261542455,0.133246491964,-0.101516398501,0.0159727470923,-0.150282458284,0.102268506766,-0.156614536558,0.0307901391483,-0.131010478545,-0.0165570807184,-0.112804734475,0.112608179553,-0.137079966685,0.030436918876,-0.10770238758,0.0506648827168,-0.193044380865,0.0680382918318,-0.156998383886,-0.292751769216,-0.265741801091,-0.407171827046,-0.25625907679,0.374610517464,0.000422857596177,-0.208009917607,-0.202955757167,0.131387340877,-0.011637327541,-0.0457078516458,-0.153733685,-0.0505405405405,0.108720295973,-0.120453672428,0.111361575032,-0.142223357782,-0.62742734765,0.400822466731,-0.5834390118,0.436896674758,0.0259532140751,0.0386622026832,-0.0679702250459,-0.0582639973232,-0.0123836635395,0.484573314491,-0.0210179714013,0.00529507610695
class_9,-0.0159669039087,0.140048521941,-0.113180862954,0.196388802586,-0.0180968348753,0.09797762099,0.0341226739024,0.119307915351,-0.130002531774,0.251892230409,-0.102792372348,0.175892973274,-0.00582589582771,-0.00271797452343,0.0442479563853,0.164257229717,0.19770495677,0.379570687522,0.0405628273621,0.0739421104213,-0.0276683459461,0.196814883897,0.0376275026728,0.304914312519,-0.18379048925,0.25885349693,-0.223581198864,0.326596832866,-0.174389422831,0.188148017658,-0.117393745838,0.094365358413,0.00502763201442,0.186394143263,0.114415082789,0.000112315,-0.0505405405405,0.0641944688224,-0.0423837258316,0.0630463617857,0.0227403891407,0.162311629056,-0.0955381861391,0.16719686792,-0.142362984065,0.00231498954311,-0.00203619448139,-0.0718850387007,0.506556638209,-0.0121456362519,-0.130340145162,-9.01299421489e-05,-0.190879076218
class_10,0.43978293494,-0.106951752843,0.0768768585654,-0.0948696071824,0.134596552497,-0.0894221393238,0.23608314433,-0.0907433099646,0.279609831966,-0.0498644090223,0.153372512623,-0.0620719395497,0.135148804401,-0.0660108684038,0.213181047131,-0.084034081148,0.0610733350687,-0.0796632026763,0.0810091371174,-0.0805432308033,0.0750886722037,-0.129853152712,0.0776488273994,-0.104819613469,-0.00200706697475,0.258996501163,0.151124202021,0.297958638041,0.0181737152666,0.0463228445299,-0.171259658059,-0.107427348371,-0.0450644151635,-0.0924378218351,-0.289119698661,-0.101101685,0.327837837838,-0.089599393908,-0.0647062917084,-0.0868506752113,-0.121734054097,-0.549002846818,0.390092179647,-0.549576900084,0.429063981975,0.0199427139956,0.0423598328144,-0.0675116325891,-0.054694958733,-0.0105195481614,0.527326563096,-0.00611150139667,0.00402908105075
class_4,-0.209213418304,0.227753730491,-0.016018331308,0.145216289536,-0.364473261299,0.488054469934,0.0186630252289,0.149686516381,-0.0269766523333,0.190403903676,-0.0362716433055,0.0199207209439,-0.100057097808,0.0352052030299,-0.106196674316,0.286265549997,-0.204947629423,0.133923427035,-0.224715092589,0.23893341583,0.0747327928678,0.256723519277,0.0188415712289,0.257552851952,0.1877530712,-0.0951773157152,0.141716339537,-0.136460377528,-0.0397948798734,0.282561248203,0.19737212378,0.0638054164428,-0.0442939762295,0.0430153694584,-0.0457078516458,-0.153733685,-0.0235135135135,-0.031422298987,0.0437010481123,-0.038842390684,0.098704248439,0.30225547265,-0.503206792076,0.268066252821,-0.426958313667,0.00415825994667,0.00190248622111,-0.071773186882,-0.0612246770628,-0.0104646202004,-0.160325172167,-0.0382533084081,-0.00133717052333
class_9,0.020743172227,-0.0449461483117,-0.0992041540928,0.189306892298,-0.0576862241084,0.441646384615,0.280585929756,0.859366295296,-0.147900759405,0.346146580381,0.0657033591168,0.75945340807,0.0431566482942,0.117234433795,0.109805942362,0.504580272178,0.0596970521261,0.689705537777,-0.358018398966,0.728804979941,0.0926837652557,0.432181527907,0.11244703497,0.56922181826,-0.127409610954,0.557589339511,-0.213175695318,0.429034379201,0.00885136766374,0.0408350055065,0.00913303407827,0.53869113757,-0.129747046458,-0.116789897619,-0.0200965110275,0.096266315,0.111621621622,-0.155447366605,-0.0337686278047,-0.152799232916,-0.0921562686992,0.30094515651,-0.492651399413,0.27101126384,-0.441421262895,0.00537658470671,0.00615664830321,-0.0715606684265,0.614489637621,-0.0117635470681,-0.156916142025,-0.00290004591456,0.00317866362619
