prediction,p1,p2
class_3,0.000000,0.000001
class_4,0.006759,0.000000
class_4,0.124601,0.000000
class_4,0.404279,0.000000
class_1,0.999987,0.000000
class_1,0.835535,0.000000
class_4,0.000000,0.000000
class_3,0.000000,0.000000
class_1,0.971140,0.000000
class_8,0.000000,0.374315
class_9,0.000002,0.000000
class_4,0.012498,0.000000
class_1,1.000000,0.000000
class_2,0.000000,0.999736
class_10,0.000000,0.000000
class_6,0.000000,0.000000
class_6,0.000000,0.000000
class_5,0.000005,0.000000
class_1,0.999985,0.000000
class_9,0.000043,0.000000
class_10,0.000000,0.000000
class_8,0.000000,0.000000
class_7,0.000000,0.000000
class_8,0.000000,0.000000
class_2,0.000000,0.999999
class_9,0.000000,0.000000
class_3,0.000000,0.000000
class_2,0.000000,0.928066
class_7,0.000000,0.000000
class_2,0.000000,1.000000
class_10,0.000000,0.000000
class_8,0.000000,0.000000
class_8,0.000000,0.000000
class_8,0.000000,0.000000
class_4,0.000000,0.000000
class_4,0.000046,0.000000
class_2,0.000000,0.999903
class_8,0.000000,0.000000
class_10,0.000000,0.000000
class_5,0.000000,0.000000
class_4,0.000000,0.000000
class_2,0.000000,0.999993
class_7,0.000000,0.000000
class_6,0.000166,0.000000
class_7,0.000000,0.000000
class_3,0.000000,0.000000
class_3,0.000000,0.000000
class_6,0.000000,0.000000
class_8,0.000000,0.000015
class_9,0.000008,0.000000
class_9,0.419179,0.000000
class_4,0.000000,0.000000
class_8,0.000000,0.079940
class_3,0.000000,0.001572
class_5,0.000509,0.000000
class_9,0.039736,0.000000
class_9,0.000000,0.000000
class_9,0.011785,0.000000
class_7,0.000000,0.000000
class_5,0.000103,0.000000
class_2,0.000000,0.998043
class_10,0.000000,0.000000
class_5,0.000001,0.000000
class_3,0.000000,0.000000
class_6,0.000313,0.000000
class_1,0.973054,0.000000
class_8,0.000000,0.061767
class_8,0.000000,0.000000
class_10,0.000000,0.000000
class_2,0.000000,1.000000
class_7,0.000000,0.000000
class_5,0.000000,0.000000
class_10,0.000000,0.000000
class_7,0.000000,0.000000
class_10,0.000000,0.000000
class_1,0.998727,0.000000
class_3,0.000000,0.000000
class_8,0.000000,0.000000
class_10,0.000000,0.000000
class_8,0.000000,0.000000
