prediction,p1,p2
class_8,0.008000,0.064000
class_4,0.296000,0.000000
class_1,0.336000,0.000000
class_6,0.248000,0.000000
class_1,0.632000,0.000000
class_1,0.400000,0.000000
class_4,0.024000,0.032000
class_3,0.000000,0.064000
class_1,0.568000,0.000000
class_8,0.000000,0.024000
class_9,0.040000,0.000000
class_4,0.120000,0.008000
class_8,0.120000,0.008000
class_7,0.000000,0.152000
class_10,0.000000,0.056000
class_6,0.080000,0.000000
class_6,0.032000,0.000000
class_9,0.208000,0.000000
class_1,0.528000,0.000000
class_9,0.288000,0.000000
class_5,0.072000,0.008000
class_8,0.096000,0.008000
class_2,0.000000,0.568000
class_8,0.016000,0.008000
class_2,0.000000,0.480000
class_9,0.048000,0.000000
class_3,0.000000,0.256000
class_2,0.000000,0.776000
class_5,0.000000,0.152000
class_3,0.000000,0.368000
class_10,0.000000,0.088000
class_8,0.016000,0.032000
class_8,0.008000,0.024000
class_8,0.000000,0.144000
class_4,0.152000,0.000000
class_8,0.048000,0.024000
class_2,0.000000,0.720000
class_7,0.008000,0.128000
class_5,0.120000,0.016000
class_4,0.232000,0.000000
class_4,0.120000,0.000000
class_2,0.000000,0.416000
class_7,0.000000,0.224000
class_6,0.072000,0.008000
class_7,0.000000,0.080000
class_3,0.008000,0.024000
class_3,0.000000,0.376000
class_6,0.040000,0.000000
class_7,0.000000,0.240000
class_9,0.056000,0.000000
class_1,0.312000,0.000000
class_4,0.080000,0.000000
class_7,0.000000,0.176000
class_3,0.000000,0.048000
class_9,0.240000,0.000000
class_9,0.104000,0.000000
class_9,0.048000,0.000000
class_9,0.208000,0.000000
class_8,0.024000,0.032000
class_5,0.256000,0.024000
class_3,0.000000,0.096000
class_3,0.000000,0.184000
class_1,0.496000,0.000000
class_7,0.000000,0.072000
class_6,0.112000,0.000000
class_1,0.536000,0.000000
class_3,0.000000,0.112000
class_8,0.016000,0.008000
class_10,0.000000,0.056000
class_7,0.000000,0.192000
class_8,0.008000,0.080000
class_3,0.000000,0.064000
class_10,0.000000,0.008000
class_7,0.000000,0.416000
class_5,0.064000,0.008000
class_1,0.464000,0.000000
class_10,0.000000,0.072000
class_3,0.000000,0.192000
class_10,0.000000,0.072000
class_8,0.000000,0.232000
