prediction,p1,p2
class_8,0.006881,0.000013
class_4,0.005387,0.000000
class_1,0.735040,0.000000
class_5,0.291351,0.000000
class_1,0.824063,0.000000
class_9,0.399255,0.000000
class_4,0.000315,0.000000
class_3,0.001783,0.002386
class_1,0.887206,0.000000
class_8,0.000005,0.000187
class_9,0.000420,0.000000
class_4,0.003547,0.000000
class_8,0.017981,0.000224
class_7,0.000001,0.023474
class_10,0.000000,0.000792
class_6,0.088501,0.000000
class_6,0.031895,0.000000
class_1,0.940212,0.000017
class_1,0.608627,0.000000
class_1,0.805345,0.000000
class_5,0.001458,0.000000
class_8,0.000195,0.000000
class_3,0.000201,0.406810
class_8,0.000000,0.001265
class_2,0.000000,0.578432
class_9,0.000004,0.000000
class_3,0.003831,0.145233
class_2,0.000022,0.809013
class_5,0.009760,0.210419
class_3,0.000187,0.146349
class_10,0.000027,0.013502
class_8,0.002209,0.000000
class_8,0.000490,0.000000
class_8,0.000007,0.000058
class_4,0.000690,0.000000
class_4,0.015030,0.000000
class_2,0.000004,0.797669
class_8,0.000118,0.000261
class_10,0.000056,0.000000
class_1,0.807741,0.000000
class_5,0.017549,0.000000
class_2,0.000082,0.778356
class_7,0.001742,0.024548
class_6,0.182056,0.000110
class_7,0.000009,0.000146
class_3,0.011897,0.000094
class_2,0.000442,0.508175
class_6,0.000175,0.000000
class_7,0.000001,0.000148
class_9,0.000001,0.000000
class_1,0.634674,0.000002
class_4,0.000269,0.000000
class_8,0.000116,0.000194
class_3,0.001930,0.028640
class_9,0.280533,0.000000
class_9,0.183739,0.000000
class_9,0.000053,0.000000
class_1,0.453749,0.000000
class_8,0.028660,0.009422
class_5,0.267903,0.000003
class_3,0.000624,0.387969
class_2,0.000000,0.444546
class_1,0.746171,0.000000
class_7,0.000301,0.006560
class_6,0.250750,0.000000
class_1,0.679453,0.000000
class_3,0.000758,0.004459
class_4,0.000762,0.000000
class_10,0.000022,0.000481
class_7,0.000000,0.123028
class_8,0.003687,0.000278
class_3,0.003242,0.001852
class_10,0.000000,0.000009
class_7,0.000094,0.166547
class_10,0.000000,0.000000
class_1,0.675456,0.000000
class_7,0.000004,0.004499
class_3,0.007592,0.004300
class_10,0.000013,0.195942
class_8,0.000000,0.000000
