prediction,p1,p2
class_8,0.000000,0.000000
class_4,0.041146,0.000000
class_5,0.005164,0.000000
class_6,0.166934,0.000000
class_1,0.583800,0.000000
class_9,0.124371,0.000000
class_4,0.001226,0.000000
class_3,0.000000,0.000000
class_1,0.998179,0.000000
class_8,0.000000,0.000000
class_9,0.000000,0.000000
class_5,0.000128,0.000000
class_8,0.227504,0.000000
class_2,0.000000,0.999266
class_10,0.000000,0.000000
class_6,0.000000,0.000000
class_6,0.000000,0.000000
class_1,0.655004,0.000000
class_1,0.880719,0.000000
class_9,0.400622,0.000000
class_5,0.000000,0.000000
class_8,0.000000,0.000000
class_2,0.000000,0.999962
class_7,0.000000,0.000000
class_2,0.000000,0.995179
class_9,0.000000,0.000000
class_3,0.000000,0.001578
class_2,0.000000,0.999992
class_5,0.000000,0.000000
class_3,0.000000,0.001659
class_10,0.000000,0.000005
class_8,0.000000,0.000000
class_8,0.000000,0.000000
class_8,0.000000,0.000000
class_4,0.000716,0.000000
class_8,0.000001,0.000000
class_2,0.000000,1.000000
class_7,0.000000,0.000000
class_5,0.000394,0.000000
class_5,0.002856,0.000000
class_4,0.012232,0.000000
class_2,0.000000,0.992610
class_7,0.000000,0.000000
class_1,0.958143,0.000000
class_7,0.000000,0.000000
class_3,0.000000,0.000000
class_3,0.000000,0.020882
class_6,0.000000,0.000000
class_7,0.000000,0.000000
class_9,0.000000,0.000000
class_1,1.000000,0.000000
class_4,0.000000,0.000000
class_7,0.000000,0.000000
class_3,0.000000,0.000000
class_9,0.000000,0.000000
class_9,0.000000,0.000000
class_9,0.000000,0.000000
class_5,0.013389,0.000000
class_8,0.000000,0.000000
class_5,0.000050,0.000000
class_3,0.000000,0.000000
class_2,0.000000,0.993325
class_1,0.980016,0.000000
class_7,0.000000,0.000000
class_6,0.000001,0.000000
class_9,0.129500,0.000000
class_3,0.000000,0.000000
class_8,0.000000,0.000000
class_10,0.000000,0.000000
class_7,0.000000,0.354955
class_8,0.000000,0.000000
class_3,0.000000,0.000000
class_10,0.000000,0.000000
class_2,0.000000,0.999939
class_10,0.000000,0.000000
class_1,0.999376,0.000000
class_10,0.000000,0.000001
class_3,0.000000,0.000000
class_2,0.000000,0.449048
class_8,0.000000,0.000000
