prediction,p1,p2
class_8,0.000290,0.221357
class_9,0.168457,0.000000
class_4,0.063250,0.000000
class_5,0.094850,0.000000
class_1,0.728114,0.001276
class_1,0.562389,0.000000
class_4,0.011798,0.003915
class_3,0.010661,0.239529
class_4,0.111603,0.004963
class_2,0.001019,0.366589
class_9,0.102026,0.000212
class_4,0.073322,0.001393
class_4,0.060233,0.018384
class_2,0.001206,0.421252
class_10,0.000000,0.001791
class_6,0.155856,0.000000
class_6,0.091130,0.000000
class_4,0.077276,0.005900
class_1,0.576824,0.002325
class_9,0.263422,0.000000
class_10,0.018945,0.009984
class_8,0.018502,0.101960
class_7,0.011845,0.064508
class_8,0.000811,0.143113
class_2,0.000000,0.800655
class_9,0.062731,0.000000
class_3,0.006310,0.057067
class_2,0.000089,0.564873
class_7,0.026484,0.035777
class_2,0.000000,0.660523
class_10,0.001425,0.002140
class_8,0.002140,0.123271
class_8,0.004083,0.070399
class_8,0.001780,0.124392
class_4,0.011834,0.000000
class_4,0.042900,0.004167
class_2,0.000741,0.666489
class_8,0.015467,0.014575
class_10,0.031400,0.000000
class_5,0.017876,0.006621
class_4,0.006223,0.003806
class_2,0.000000,0.772421
class_7,0.059435,0.026055
class_6,0.342799,0.000000
class_7,0.231665,0.024409
class_3,0.010733,0.097891
class_3,0.001592,0.071243
class_6,0.106410,0.000000
class_7,0.000000,0.228860
class_9,0.132639,0.000000
class_1,0.291666,0.007350
class_4,0.192927,0.000000
class_2,0.001313,0.405100
class_3,0.000717,0.135411
class_4,0.028274,0.001793
class_9,0.155584,0.000000
class_9,0.241706,0.001778
class_9,0.176485,0.000000
class_7,0.020374,0.052248
class_5,0.075068,0.002906
class_2,0.000000,0.727286
class_10,0.000000,0.101262
class_5,0.051126,0.000000
class_3,0.003213,0.137687
class_6,0.103892,0.000000
class_9,0.362442,0.000000
class_8,0.001899,0.311604
class_8,0.011592,0.051398
class_10,0.002222,0.093704
class_2,0.000000,0.769516
class_7,0.216287,0.014813
class_5,0.026577,0.008499
class_10,0.011489,0.007190
class_7,0.052165,0.012050
class_10,0.026383,0.002716
class_1,0.646856,0.000471
class_3,0.001751,0.100946
class_5,0.199116,0.007473
class_10,0.000222,0.005042
class_8,0.002968,0.040699
