prediction,p1,p2
class_8,0.000000,0.000000
class_4,0.000065,0.000000
class_1,0.957134,0.000000
class_4,0.000003,0.000000
class_1,0.997303,0.000000
class_4,0.301321,0.000000
class_4,0.000000,0.000000
class_8,0.000000,0.000000
class_4,0.088486,0.000000
class_8,0.000000,0.000000
class_9,0.000000,0.000000
class_1,0.687712,0.000000
class_5,0.007105,0.000000
class_2,0.000000,0.920849
class_10,0.000000,0.000000
class_6,0.000040,0.000000
class_6,0.000000,0.000000
class_6,0.000626,0.000000
class_1,0.999999,0.000000
class_9,0.035188,0.000000
class_10,0.000000,0.000000
class_8,0.000000,0.000000
class_3,0.000000,0.000341
class_7,0.000000,0.006973
class_2,0.000000,0.999546
class_9,0.000000,0.000000
class_3,0.000000,0.000040
class_2,0.000000,0.561027
class_7,0.000000,0.000000
class_2,0.000000,0.999994
class_5,0.000000,0.000000
class_8,0.000000,0.000000
class_8,0.000000,0.000000
class_8,0.000000,0.000000
class_4,0.000000,0.000000
class_4,0.038604,0.000000
class_2,0.000000,1.000000
class_8,0.000000,0.000000
class_10,0.000000,0.000000
class_5,0.000023,0.000000
class_4,0.034300,0.000000
class_2,0.000000,0.999982
class_7,0.000000,0.000000
class_6,0.000840,0.000000
class_7,0.000000,0.000000
class_3,0.000000,0.000021
class_3,0.000000,0.000042
class_6,0.000000,0.000000
class_7,0.000000,0.000000
class_9,0.000000,0.000000
class_6,0.000378,0.000000
class_4,0.000000,0.000000
class_8,0.000000,0.000460
class_3,0.000000,0.000030
class_1,0.597154,0.000000
class_9,0.000124,0.000000
class_9,0.000000,0.000000
class_9,0.000912,0.000000
class_7,0.000000,0.010227
class_5,0.003585,0.000000
class_2,0.000000,0.996843
class_10,0.000000,0.000000
class_5,0.000011,0.000000
class_8,0.000000,0.000001
class_6,0.000002,0.000000
class_1,0.710493,0.000000
class_2,0.000000,0.995517
class_8,0.000000,0.000000
class_10,0.000000,0.000000
class_2,0.000000,0.502166
class_8,0.000000,0.000000
class_5,0.000000,0.000000
class_10,0.000000,0.000000
class_3,0.000000,0.000161
class_10,0.000000,0.000000
class_1,0.665375,0.000000
class_7,0.000000,0.000000
class_8,0.000028,0.000000
class_10,0.000000,0.000000
class_8,0.500000,0.000000
